participant_id,group,course_id,step_number,step_started_at,step_completed_at,time_on_task_seconds,attempts_code_runs,python_errors,progress_errors,help_requests,avg_hint_level,solved
P009,B,bmi-calculator,3,2025-12-26T09:45:20.061Z,2025-12-26T09:46:49.653Z,90,1,0,0,0,0,1
P009,B,bmi-calculator,4,2025-12-26T09:51:56.132Z,2025-12-26T09:52:00.178Z,48,1,0,0,0,0,1
P009,B,bmi-calculator,5,2025-12-26T09:52:01.766Z,2025-12-26T10:02:17.439Z,616,13,4,0,4,2.5,1
P009,B,bmi-calculator,6,2025-12-26T10:03:18.892Z,2025-12-26T10:05:10.171Z,112,1,0,0,0,0,1
P009,B,bmi-calculator,7,2025-12-26T10:06:16.799Z,2025-12-26T10:07:52.587Z,96,3,2,0,0,0,1
P009,B,bmi-calculator,8,2025-12-26T10:09:00.601Z,2025-12-26T10:10:23.727Z,84,1,0,0,0,0,1
P009,B,bmi-calculator,9,2025-12-26T10:11:21.121Z,2025-12-26T10:14:28.926Z,188,2,0,0,0,0,1
P009,B,bmi-calculator,10,2025-12-26T10:25:39.032Z,2025-12-26T10:18:51.294Z,124,3,2,0,0,0,1
P009,B,bmi-calculator,11,2025-12-26T10:25:39.034Z,2025-12-26T10:21:38.888Z,105,2,0,0,0,0,1
P009,B,bmi-calculator,12,2025-12-26T10:25:40.181Z,2025-12-26T10:25:56.302Z,91,3,0,0,0,0,1
P010,B,bmi-calculator,1,2025-12-19T13:57:48.610Z,2025-12-19T13:59:30.155Z,103,1,0,0,0,0,1
P010,B,bmi-calculator,2,2025-12-19T14:00:36.938Z,2025-12-19T14:03:06.994Z,151,1,0,0,0,0,1
P010,B,bmi-calculator,3,2025-12-20T14:29:04.227Z,2025-12-20T14:29:34.196Z,32,23,0,0,5,3,1
P010,B,bmi-calculator,4,2025-12-20T14:30:54.159Z,2025-12-20T14:32:30.375Z,97,1,0,0,0,0,1
P010,B,bmi-calculator,5,2025-12-20T14:34:41.998Z,2025-12-20T14:44:17.860Z,577,1,0,0,0,0,1
P010,B,bmi-calculator,6,2025-12-20T14:57:27.877Z,2025-12-20T15:07:58.143Z,631,1,0,0,0,0,1
P010,B,bmi-calculator,7,2025-12-20T15:09:29.612Z,2025-12-20T15:13:35.929Z,247,1,0,0,0,0,1
P010,B,bmi-calculator,8,2025-12-20T15:14:49.696Z,2025-12-20T15:17:20.063Z,151,2,1,0,0,0,1
P010,B,bmi-calculator,9,2025-12-20T15:19:01.916Z,2025-12-20T15:22:25.749Z,205,1,0,0,0,0,1
P010,B,bmi-calculator,10,2025-12-20T15:25:30.217Z,2025-12-20T15:29:14.223Z,225,2,1,0,0,0,1
P010,B,bmi-calculator,11,2025-12-20T15:30:25.909Z,2025-12-20T15:33:39.276Z,194,3,0,0,0,0,1
P010,B,bmi-calculator,12,2025-12-20T15:35:50.580Z,2025-12-20T15:38:31.814Z,162,7,0,0,0,0,1
P011,B,bmi-calculator,1,2026-01-11T14:38:13.119Z,2026-01-11T14:39:58.685Z,105,29,22,0,0,0,1
P011,B,bmi-calculator,2,2026-01-11T14:40:49.470Z,2026-01-11T14:41:53.579Z,67,1,0,0,0,0,1
P011,B,bmi-calculator,3,2026-01-11T14:43:21.760Z,2026-01-11T14:46:46.611Z,207,1,0,0,0,0,1
P011,B,bmi-calculator,4,2026-01-11T15:02:17.654Z,2026-01-11T15:02:19.145Z,92,1,0,0,1,1,1
P011,B,bmi-calculator,5,2026-01-11T15:02:22.901Z,2026-01-11T17:16:59.673Z,8079,14,3,0,7,3.57,1
P011,B,bmi-calculator,6,2026-01-11T17:23:06.639Z,2026-01-11T17:27:05.497Z,240,2,1,0,0,0,1
P011,B,bmi-calculator,7,2026-01-11T17:28:01.256Z,2026-01-11T17:29:22.431Z,83,1,0,0,0,0,1
P011,B,bmi-calculator,8,2026-01-11T17:30:39.915Z,2026-01-11T17:33:16.183Z,158,1,0,0,0,0,1
P011,B,bmi-calculator,9,2026-01-11T17:34:16.530Z,2026-01-11T17:37:00.095Z,165,1,0,0,0,0,1
P011,B,bmi-calculator,10,2026-01-11T17:39:29.641Z,2026-01-11T17:43:12.122Z,224,1,0,0,0,0,1
P011,B,bmi-calculator,11,2026-01-11T17:44:13.803Z,2026-01-11T17:47:57.789Z,225,2,0,0,0,0,1
P011,B,bmi-calculator,12,2026-01-11T17:51:47.426Z,2026-01-11T17:52:47.552Z,61,1,0,0,0,0,1
P012,A,bmi-calculator,1,2026-01-09T11:15:21.692Z,2026-01-09T11:15:54.784Z,33,1,0,0,0,0,1
P012,A,bmi-calculator,2,2026-01-09T11:16:38.917Z,2026-01-09T11:17:06.324Z,29,1,0,0,0,0,1
P012,A,bmi-calculator,3,2026-01-09T11:17:50.732Z,2026-01-09T11:18:18.578Z,29,1,0,0,0,0,1
P012,A,bmi-calculator,4,2026-01-09T11:18:52.139Z,2026-01-09T11:19:37.177Z,46,1,0,0,0,0,1
P012,A,bmi-calculator,5,2026-01-09T11:20:23.672Z,2026-01-09T11:21:48.660Z,86,1,0,0,0,0,1
P012,A,bmi-calculator,6,2026-01-09T11:22:48.817Z,2026-01-09T11:23:46.240Z,58,1,0,0,0,0,1
P012,A,bmi-calculator,7,2026-01-09T11:24:35.292Z,2026-01-09T11:25:35.371Z,61,1,0,0,0,0,1
P012,A,bmi-calculator,8,2026-01-09T11:26:01.965Z,2026-01-09T11:27:04.341Z,63,1,0,0,0,0,1
P012,A,bmi-calculator,9,2026-01-09T11:28:07.170Z,2026-01-09T11:30:00.866Z,115,1,0,0,0,0,1
P012,A,bmi-calculator,10,2026-01-09T11:30:43.795Z,2026-01-09T11:32:23.381Z,101,2,1,0,0,0,1
P012,A,bmi-calculator,11,2026-01-09T11:33:20.249Z,2026-01-09T11:34:54.398Z,95,1,0,0,0,0,1
P012,A,bmi-calculator,12,2026-01-09T11:36:08.651Z,2026-01-09T11:36:38.631Z,31,1,0,0,0,0,1
P012,A,interest-calculator,1,2026-01-09T11:48:19.131Z,,0,0,0,0,0,0,0
P014,A,bmi-calculator,1,2026-01-05T15:14:17.617Z,2026-01-05T15:16:25.507Z,128,6,2,0,0,0,1
P015,B,bmi-calculator,1,2025-12-21T11:09:02.760Z,2025-12-21T11:12:24.027Z,201,4,2,0,0,0,1
P015,B,bmi-calculator,2,2025-12-21T11:12:58.724Z,2025-12-21T11:13:46.324Z,48,1,0,0,0,0,1
P015,B,bmi-calculator,3,2025-12-21T11:14:49.995Z,2025-12-21T11:16:04.209Z,74,1,0,0,0,0,1
P015,B,bmi-calculator,4,2025-12-21T11:21:13.999Z,2025-12-21T11:21:16.054Z,106,1,0,0,0,0,1
P015,B,bmi-calculator,5,2025-12-21T11:21:17.013Z,2025-12-21T11:22:43.526Z,87,1,0,0,0,0,1
P015,B,bmi-calculator,6,2025-12-21T11:24:14.568Z,2025-12-21T11:28:41.322Z,267,4,0,0,0,0,1
P015,B,bmi-calculator,7,2025-12-21T11:30:10.044Z,2025-12-21T11:30:52.639Z,43,1,0,0,0,0,1
P015,B,bmi-calculator,8,2025-12-21T11:32:28.177Z,2025-12-21T11:41:22.641Z,535,6,3,0,5,3,1
P015,B,bmi-calculator,9,2025-12-21T11:42:17.201Z,2025-12-21T11:47:08.050Z,291,1,0,0,1,1,1
P015,B,bmi-calculator,10,2025-12-21T11:48:51.190Z,2025-12-21T11:51:32.452Z,161,2,0,0,0,0,1
P015,B,bmi-calculator,11,2025-12-21T11:53:37.479Z,2025-12-21T11:55:31.159Z,114,3,2,0,0,0,1
P015,B,bmi-calculator,12,2025-12-21T11:57:50.575Z,2025-12-21T11:58:24.838Z,35,1,0,0,0,0,1
P015,B,interest-calculator,1,2025-12-21T12:00:23.180Z,2025-12-21T12:03:59.793Z,217,3,0,0,0,0,1
P015,B,interest-calculator,2,2025-12-21T12:05:01.191Z,2025-12-21T12:07:38.141Z,157,2,0,0,0,0,1
P015,B,interest-calculator,3,2025-12-21T12:09:08.987Z,2025-12-21T12:17:08.373Z,480,9,4,0,1,1,1
P015,B,interest-calculator,4,2025-12-21T12:18:34.705Z,2025-12-21T12:22:11.219Z,217,2,0,0,0,0,1
P015,B,interest-calculator,5,2025-12-21T12:23:32.520Z,2025-12-21T12:28:00.673Z,268,2,0,0,1,1,1
P015,B,interest-calculator,6,2025-12-21T12:29:35.839Z,2025-12-21T12:31:49.373Z,134,1,0,0,1,1,1
P015,B,interest-calculator,7,2025-12-21T12:36:31.060Z,2025-12-21T12:49:39.761Z,789,8,4,0,2,1.5,1
P015,B,interest-calculator,8,2025-12-21T12:52:16.542Z,2025-12-21T12:54:26.351Z,130,4,0,0,0,0,1
P017,A,bmi-calculator,1,2026-01-21T09:33:00.110Z,2026-01-21T09:33:36.397Z,37,1,0,0,0,0,1
P017,A,bmi-calculator,2,2026-01-21T09:33:57.128Z,2026-01-21T09:34:31.234Z,34,1,0,0,0,0,1
P017,A,bmi-calculator,3,2026-01-21T09:35:08.145Z,2026-01-21T09:54:39.266Z,1171,1,0,0,0,0,1
P017,A,bmi-calculator,4,2026-01-21T09:55:18.947Z,2026-01-21T09:55:47.140Z,28,1,0,0,0,0,1
P017,A,bmi-calculator,5,2026-01-21T09:56:13.990Z,2026-01-21T09:57:17.200Z,63,1,0,0,0,0,1
P017,A,bmi-calculator,6,2026-01-21T09:57:51.113Z,2026-01-21T09:58:58.909Z,68,2,0,0,0,0,1
P017,A,bmi-calculator,7,2026-01-21T09:59:55.836Z,2026-01-21T10:00:18.055Z,22,1,0,0,0,0,1
P017,A,bmi-calculator,8,2026-01-21T10:00:38.872Z,2026-01-21T10:01:34.850Z,56,1,0,0,0,0,1
P017,A,bmi-calculator,9,2026-01-21T10:02:07.271Z,2026-01-21T10:03:46.372Z,99,2,1,0,0,0,1
P017,A,bmi-calculator,10,2026-01-21T10:04:13.994Z,2026-01-21T10:05:23.530Z,70,1,0,0,0,0,1
P017,A,bmi-calculator,11,2026-01-21T10:05:43.617Z,2026-01-21T10:06:40.230Z,57,1,0,0,0,0,1
P017,A,bmi-calculator,12,2026-01-21T10:07:06.525Z,2026-01-21T10:07:29.614Z,23,1,0,0,0,0,1
P019,A,bmi-calculator,1,2026-01-11T18:15:28.414Z,2026-01-11T18:18:00.872Z,155,1,0,0,0,0,1
P019,A,bmi-calculator,2,2026-01-11T18:19:32.973Z,2026-01-11T18:21:05.294Z,93,3,0,0,0,0,1
P019,A,bmi-calculator,3,2026-01-11T18:22:22.716Z,2026-01-11T18:25:30.289Z,189,1,0,0,0,0,1
P019,A,bmi-calculator,4,2026-01-11T18:27:46.349Z,2026-01-11T18:29:53.285Z,128,1,0,0,0,0,1
P019,A,bmi-calculator,5,2026-01-11T18:32:39.207Z,2026-01-11T18:36:48.196Z,250,1,0,0,0,0,1
P019,A,bmi-calculator,6,2026-01-11T18:38:24.544Z,2026-01-11T18:41:10.421Z,167,1,0,0,0,0,1
P019,A,bmi-calculator,7,2026-01-11T18:42:44.952Z,2026-01-11T18:44:24.521Z,101,1,0,0,0,0,1
P019,A,bmi-calculator,8,2026-01-11T18:46:25.264Z,2026-01-11T18:49:24.586Z,181,2,1,0,0,0,1
P019,A,bmi-calculator,9,2026-01-11T19:08:20.722Z,2026-01-11T19:12:19.399Z,240,1,0,0,0,0,1
P019,A,bmi-calculator,10,2026-01-11T19:20:23.905Z,2026-01-11T19:24:04.098Z,221,1,0,0,0,0,1
P019,A,bmi-calculator,11,2026-01-11T19:25:28.818Z,2026-01-11T19:28:11.306Z,164,1,0,0,0,0,1
P019,A,bmi-calculator,12,2026-01-11T19:30:19.736Z,2026-01-11T19:31:03.606Z,45,1,0,0,0,0,1
P020,B,bmi-calculator,1,2026-01-20T20:59:00.358Z,2026-01-20T20:59:41.311Z,42,1,0,0,0,0,1
P020,B,bmi-calculator,2,2026-01-20T21:00:09.392Z,2026-01-20T21:00:42.415Z,34,1,0,0,0,0,1
P020,B,bmi-calculator,3,2026-01-20T21:01:24.196Z,2026-01-20T21:02:39.126Z,76,2,0,0,0,0,1
P020,B,bmi-calculator,4,2026-01-20T21:03:08.965Z,2026-01-20T21:03:37.524Z,29,1,0,0,0,0,1
P020,B,bmi-calculator,5,2026-01-20T21:04:34.782Z,2026-01-20T21:05:30.069Z,57,2,1,0,0,0,1
P020,B,bmi-calculator,6,2026-01-20T21:06:21.430Z,2026-01-20T21:08:08.246Z,108,2,0,0,0,0,1
P020,B,bmi-calculator,7,2026-01-20T21:08:38.050Z,2026-01-20T21:09:16.357Z,39,2,0,0,0,0,1
P020,B,bmi-calculator,8,2026-01-20T21:10:05.114Z,2026-01-20T21:10:33.957Z,30,1,0,0,0,0,1
P020,B,bmi-calculator,9,2026-01-20T21:11:27.165Z,2026-01-20T21:12:38.061Z,72,1,0,0,0,0,1
P020,B,bmi-calculator,10,2026-01-20T21:13:58.760Z,2026-01-20T21:14:52.524Z,55,1,0,0,0,0,1
P020,B,bmi-calculator,11,2026-01-20T21:15:31.847Z,2026-01-20T21:16:09.005Z,38,1,0,0,0,0,1
P020,B,bmi-calculator,12,2026-01-20T21:17:23.109Z,2026-01-20T21:18:17.420Z,56,4,0,0,0,0,1
P022,A,bmi-calculator,1,2025-12-26T09:00:31.270Z,2025-12-26T09:00:59.806Z,28,2,0,0,0,0,1
P022,A,bmi-calculator,2,2025-12-26T09:01:55.151Z,2025-12-26T09:02:27.581Z,32,1,0,0,0,0,1
P022,A,bmi-calculator,3,2025-12-26T09:03:05.906Z,2025-12-26T09:04:17.106Z,71,2,0,0,0,0,1
P022,A,bmi-calculator,4,2025-12-26T09:04:49.267Z,2025-12-26T09:05:31.163Z,42,1,0,0,0,0,1
P022,A,bmi-calculator,5,2025-12-26T09:05:57.605Z,2025-12-26T09:06:57.848Z,60,1,0,0,0,0,1
